icon_url,description,tree,id,tree_background_url,prerequisite,name,max_rank,column,points_req,tier
https://talent-builder.haaxor1689.dev/icons/ability_rogue_ambush.png,Reduces the cost of your Heroic Strike ability by [1/2/3] rage points.,ARMS,warrior_arms_improvedheroicstrike,,,Improved Heroic Strike,3,,0,1
https://talent-builder.haaxor1689.dev/icons/spell_nature_enchantarmor.png,You retain up to [5/10/15/20/25] of your rage points when you change stances.,ARMS,warrior_arms_tacticalmastery,,,Tactical Mastery,5,,0,1
https://talent-builder.haaxor1689.dev/icons/ability_gouge.png,Increases the bleed damage done by your Rend ability by [10/20]%.,ARMS,warrior_arms_improvedrend,,,Improved Rend,2,,0,1
https://talent-builder.haaxor1689.dev/icons/ability_warrior_charge.png,Increases the amount of rage generated by your Charge ability by [5/10].,ARMS,warrior_arms_improvedcharge,,,Improved Charge,2,,5,2
https://talent-builder.haaxor1689.dev/icons/ability_parry.png,Increases your Parry chance by [1/2/3/4/5]%.,ARMS,warrior_arms_deflection,,,Deflection,5,,5,2
https://talent-builder.haaxor1689.dev/icons/ability_thunderclap.png,Reduces the cost of your Thunder Clap ability by [1/2/4] rage point and increases the damage by [20/40/60]%.,ARMS,warrior_arms_improvedthunderclap,,,Improved Thunder Clap,3,,5,2
https://talent-builder.haaxor1689.dev/icons/master_strike_1.png,"Performs a skillful attack, dealing 35% weapon damage and causing an additional effect depending on your main hand weapon.

Mace: Disorients the target for 3 sec. Any damage caused will remove the effect.
Sword: Disarms the target for 3 sec.
Axe: Immobilizes the target for 4 sec.
Polearm: Deals an additional 100% weapon damage if the target is mounted and dismounts them.
Fist Weapon: Knocks down the target for 2 sec.
Staff: Increases your chance to parry by 25% for 10 sec.
Dagger: Silences the target for 3 sec.",ARMS,warrior_arms_masterstrike,,,Master Strike,1,,10,3
https://talent-builder.haaxor1689.dev/icons/inv_sword_05.png,Increases the critical strike chance of your Overpower ability by [25/50]%.,ARMS,warrior_arms_improvedoverpower,,,Improved Overpower,2,,10,3
https://talent-builder.haaxor1689.dev/icons/ability_backstab.png,"Your critical strikes cause the opponent to bleed, dealing [20/40/60]% of your melee weapon's average damage over 6 sec.",ARMS,warrior_arms_deepwounds,,,Deep Wounds,3,,10,3
https://talent-builder.haaxor1689.dev/icons/inv_axe_09.png,Increases the damage you deal with two-handed melee weapons by [2/4/6]% and increases your skill in all two-handed weapons by [1/2/3].,ARMS,warrior_arms_twohandedweaponspecialization,,,Two-Handed Weapon Specialization,3,,15,4
https://talent-builder.haaxor1689.dev/icons/ability_searingarrow.png,"Increases the critical strike damage bonus of your abilities in Battle, Defensive, and Berserker stance by [10/20]%.",ARMS,warrior_arms_impale,,,Impale,2,,15,4
https://talent-builder.haaxor1689.dev/icons/garrison_weaponupgrade.png,"Adds the following effects to your weapons, based on the weapon type:

Axe - Increases your chance to get a critical strike by [1/2/3/4/5]%.
Mace - Causes your attacks to ignore [1.2/2.4/3.6/4.8/6] of your target's Armor per level.
Sword - Gives you a [1/2/3/4/5]% chance to get an extra attack on the same target after hitting your target.
Polearm - Increases the range of melee attacks by [0.4/0.8/1.2/1.6/2.0] yd.",ARMS,warrior_arms_masterofarms,,,Master of Arms,5,,20,5
https://talent-builder.haaxor1689.dev/icons/ability_rogue_slicedice.png,Your next 5 abilities and main-hand melee attacks strike an additional nearby opponent.,ARMS,warrior_arms_sweepingstrikes,,,Sweeping Strikes,1,,20,5
https://talent-builder.haaxor1689.dev/icons/ability_hunter_swiftstrike.png,Increases the base damage done by Execute by [15/30/45]%.,ARMS,warrior_arms_precisioncut,,,Precision Cut,3,,20,5
https://talent-builder.haaxor1689.dev/icons/ability_warrior_improveddisciplines.png,"Reduces the cooldown of your Retaliation, Recklessness and Shield Wall abilities by [4/8/12] min.",ARMS,warrior_arms_improveddisciplines,,,Improved Disciplines,3,,20,5
https://talent-builder.haaxor1689.dev/icons/ability_warrior_decisivestrike.png,Reduces the cast time and global cooldown of your Slam ability by [0.3/0.5] sec.,ARMS,warrior_arms_improvedslam,,,Improved Slam,2,,25,6
